iter	RMSE
0	1.83376307
1	1.814185042
2	1.796843518
3	1.772103772
4	1.747413317
5	1.724064116
6	1.701618513
7	1.68349808
8	1.664967446
9	1.646451451
10	1.627859279
11	1.603950143
12	1.581207153
13	1.565224165
14	1.547059156
15	1.533946104
16	1.509638097
17	1.492426809
18	1.476029254
19	1.457464022
20	1.438199776
21	1.418876431
22	1.400922962
23	1.387405813
24	1.369236062
25	1.352724623
26	1.334427641
27	1.317827038
28	1.299994583
29	1.284968875
30	1.271991534
31	1.259701275
32	1.246084452
33	1.231032622
34	1.218202084
35	1.198960492
36	1.184966566
37	1.172930303
38	1.160429136
39	1.152144253
40	1.140010799
41	1.127031922
42	1.115629753
43	1.105894143
44	1.09340724
45	1.079676398
46	1.065640477
47	1.051336236
48	1.042087851
49	1.030711624
50	1.017779596
51	1.006750608
52	0.9948284534
53	0.9831506166
54	0.975493686
55	0.9644821182
56	0.9552159114
57	0.9457486681
58	0.9380592317
59	0.9268163522
60	0.9165473144
61	0.9051355953
62	0.8948502916
63	0.8851795176
64	0.8776688239
65	0.8685911398
66	0.8608696513
67	0.8496456794
68	0.8412524751
69	0.8332099753
70	0.8233603584
71	0.8143674927
72	0.8063884733
73	0.7985154406
74	0.7911664793
75	0.7822786261
76	0.773925738
77	0.7676109936
78	0.7596646615
79	0.7538108342
80	0.7468009709
81	0.7393057898
82	0.7325407593
83	0.7258094335
84	0.7192216389
85	0.7118367489
86	0.7043796294
87	0.6985468362
88	0.6932240423
89	0.6864475946
90	0.679242426
91	0.6726332757
92	0.6645378214
93	0.658363106
94	0.652072604
95	0.6464163471
96	0.6394067263
97	0.6330006147
98	0.627809198
99	0.6215844878
100	0.6161546723
101	0.6108735167
102	0.605293769
103	0.599903221
104	0.5929152624
105	0.5868924462
106	0.5797121603
107	0.5743226437
108	0.568854945
109	0.5626068214
110	0.5574659992
111	0.5513247296
112	0.5472817269
113	0.5420427766
114	0.5358575335
115	0.531534008
116	0.5261528887
117	0.5209912874
118	0.5165382974
119	0.5125566146
120	0.5087364343
121	0.5023417911
122	0.4983952176
123	0.4939748066
124	0.4894233171
125	0.4849145577
126	0.4804776989
127	0.4761895997
128	0.4702157572
129	0.4656395048
130	0.4616620139
131	0.457674784
132	0.4537461753
133	0.4498742599
134	0.4463331725
135	0.4425238591
136	0.4391862309
